 INFO  Accepting connections at http://localhost:3000
 HTTP  9/21/2026 5:08:14 PM ::1 GET /agenda/__next.agenda.__PAGE__.txt?_rsc=j4kbAtHoDLFX2hk4
 HTTP  9/21/2026 5:08:14 PM ::1 GET /speakers/__next.speakers.__PAGE__.txt?_rsc=22PMAocxR9F6V8R5
 HTTP  9/21/2026 5:08:14 PM ::1 GET /posters/__next.posters.__PAGE__.txt?_rsc=44zf1ldL-cmIdsFY
 HTTP  9/21/2026 5:08:14 PM ::1 Returned 404 in 15 ms
 HTTP  9/21/2026 5:08:14 PM ::1 Returned 404 in 231 ms
 HTTP  9/21/2026 5:08:14 PM ::1 Returned 404 in 205 ms
 HTTP  9/21/2026 5:08:14 PM ::1 Returned 404 in 212 ms
 HTTP  9/21/2026 5:08:14 PM ::1 GET /sponsors/__next.sponsors.__PAGE__.txt?_rsc=HgMpmY5Ko1RgowCN
 HTTP  9/21/2026 5:08:14 PM ::1 GET /registration/__next.registration.__PAGE__.txt?_rsc=vL_-aE5EF4X0Mpyf
 HTTP  9/21/2026 5:08:14 PM ::1 Returned 404 in 226 ms
 HTTP  9/21/2026 5:08:14 PM ::1 Returned 404 in 232 ms
 HTTP  9/21/2026 5:09:35 PM ::1 GET /
 HTTP  9/21/2026 5:09:35 PM ::1 Returned 200 in 143 ms
 HTTP  9/21/2026 5:09:35 PM ::1 GET /compass-logo.png
 HTTP  9/21/2026 5:09:36 PM ::1 GET /_next/static/chunks/24v4i2qmup8bl.css
 HTTP  9/21/2026 5:09:35 PM ::1 Returned 200 in 377 ms
 HTTP  9/21/2026 5:09:36 PM ::1 Returned 200 in 279 ms
 HTTP  9/21/2026 5:09:36 PM ::1 GET /_next/static/chunks/3s6nzrbk-8mnv.js
 HTTP  9/21/2026 5:09:36 PM ::1 Returned 200 in 101 ms
 HTTP  9/21/2026 5:09:36 PM ::1 GET /_next/static/chunks/19mx3mg6lkumu.js
 HTTP  9/21/2026 5:09:36 PM ::1 Returned 200 in 152 ms
 HTTP  9/21/2026 5:09:37 PM ::1 GET /_next/static/chunks/3kmozkq6tgqnz.js
 HTTP  9/21/2026 5:09:37 PM ::1 GET /_next/static/chunks/2l5x-zhm7488_.js
 HTTP  9/21/2026 5:09:37 PM ::1 GET /_next/static/chunks/turbopack-23uo424_7v2rd.js
 HTTP  9/21/2026 5:09:37 PM ::1 GET /_next/static/chunks/3fntmmi971322.js
 HTTP  9/21/2026 5:09:37 PM ::1 Returned 200 in 440 ms
 HTTP  9/21/2026 5:09:37 PM ::1 Returned 200 in 437 ms
 HTTP  9/21/2026 5:09:37 PM ::1 Returned 200 in 449 ms
 HTTP  9/21/2026 5:09:37 PM ::1 Returned 200 in 473 ms
 HTTP  9/21/2026 5:09:37 PM ::1 GET /_next/static/media/public-sans-latin-400-normal.0dfhr30pzjgke.woff2
 HTTP  9/21/2026 5:09:37 PM ::1 Returned 200 in 95 ms
 HTTP  9/21/2026 5:09:38 PM ::1 GET /_next/static/media/source-serif-4-latin-400-normal.2h0g4hvhigxb2.woff2
 HTTP  9/21/2026 5:09:38 PM ::1 GET /_next/static/media/public-sans-latin-600-normal.28kl08ryt2g51.woff2
 HTTP  9/21/2026 5:09:38 PM ::1 GET /_next/static/media/source-serif-4-latin-400-italic.176tdg0wh_pxv.woff2
 HTTP  9/21/2026 5:09:38 PM ::1 Returned 200 in 81 ms
 HTTP  9/21/2026 5:09:38 PM ::1 Returned 200 in 11 ms
 HTTP  9/21/2026 5:09:38 PM ::1 Returned 200 in 22 ms
 HTTP  9/21/2026 5:09:38 PM ::1 GET /_next/static/media/public-sans-latin-800-normal.3yqjxqcq8pbt_.woff2
 HTTP  9/21/2026 5:09:38 PM ::1 GET /college.jpeg
 HTTP  9/21/2026 5:09:38 PM ::1 GET /_next/static/chunks/08h_lnmb0vpih.js
 HTTP  9/21/2026 5:09:38 PM ::1 GET /_next/static/chunks/0goy3ssicgvu7.js
 HTTP  9/21/2026 5:09:38 PM ::1 GET /bsnu-logo.png
 HTTP  9/21/2026 5:09:38 PM ::1 GET /fms-logo.png
 HTTP  9/21/2026 5:09:38 PM ::1 Returned 200 in 373 ms
 HTTP  9/21/2026 5:09:38 PM ::1 Returned 200 in 272 ms
 HTTP  9/21/2026 5:09:38 PM ::1 Returned 200 in 99 ms
 HTTP  9/21/2026 5:09:38 PM ::1 Returned 200 in 201 ms
 HTTP  9/21/2026 5:09:38 PM ::1 Returned 200 in 318 ms
 HTTP  9/21/2026 5:09:38 PM ::1 Returned 200 in 435 ms
 HTTP  9/21/2026 5:09:39 PM ::1 GET /tab-compass.png
 HTTP  9/21/2026 5:09:39 PM ::1 Returned 200 in 20 ms
 HTTP  9/21/2026 5:09:39 PM ::1 HEAD /
 HTTP  9/21/2026 5:09:39 PM ::1 HEAD /about/
 HTTP  9/21/2026 5:09:39 PM ::1 HEAD /agenda/
 HTTP  9/21/2026 5:09:39 PM ::1 HEAD /speakers/
 HTTP  9/21/2026 5:09:39 PM ::1 Returned 304 in 591 ms
 HTTP  9/21/2026 5:09:39 PM ::1 Returned 200 in 618 ms
 HTTP  9/21/2026 5:09:39 PM ::1 Returned 200 in 531 ms
 HTTP  9/21/2026 5:09:39 PM ::1 Returned 200 in 569 ms
 HTTP  9/21/2026 5:09:40 PM ::1 GET /__next._tree.txt?_rsc=5CB68i4pnAekjehf
 HTTP  9/21/2026 5:09:40 PM ::1 Returned 200 in 166 ms
 HTTP  9/21/2026 5:09:40 PM ::1 GET /about/__next._tree.txt?_rsc=5CB68i4pnAekjehf
 HTTP  9/21/2026 5:09:41 PM ::1 GET /agenda/__next._tree.txt?_rsc=5CB68i4pnAekjehf
 HTTP  9/21/2026 5:09:41 PM ::1 GET /speakers/__next._tree.txt?_rsc=5CB68i4pnAekjehf
 HTTP  9/21/2026 5:09:41 PM ::1 HEAD /posters/
 HTTP  9/21/2026 5:09:40 PM ::1 Returned 200 in 743 ms
 HTTP  9/21/2026 5:09:41 PM ::1 Returned 200 in 590 ms
 HTTP  9/21/2026 5:09:41 PM ::1 Returned 200 in 567 ms
 HTTP  9/21/2026 5:09:41 PM ::1 Returned 200 in 585 ms
 HTTP  9/21/2026 5:09:42 PM ::1 HEAD /sponsors/
 HTTP  9/21/2026 5:09:42 PM ::1 HEAD /registration/
 HTTP  9/21/2026 5:09:42 PM ::1 GET /posters/__next._tree.txt?_rsc=5CB68i4pnAekjehf
 HTTP  9/21/2026 5:09:42 PM ::1 GET /__next.__PAGE__.txt?_rsc=8nTjltbQWvg6NcbE
 HTTP  9/21/2026 5:09:42 PM ::1 Returned 200 in 506 ms
 HTTP  9/21/2026 5:09:42 PM ::1 Returned 200 in 480 ms
 HTTP  9/21/2026 5:09:42 PM ::1 Returned 200 in 424 ms
 HTTP  9/21/2026 5:09:42 PM ::1 Returned 200 in 405 ms
 HTTP  9/21/2026 5:09:43 PM ::1 GET /sponsors/__next._tree.txt?_rsc=5CB68i4pnAekjehf
 HTTP  9/21/2026 5:09:43 PM ::1 GET /registration/__next._tree.txt?_rsc=5CB68i4pnAekjehf
 HTTP  9/21/2026 5:09:43 PM ::1 GET /about/__next.about.__PAGE__.txt?_rsc=hzcUC6YqarYE9pKE
 HTTP  9/21/2026 5:09:43 PM ::1 GET /agenda/__next.agenda.__PAGE__.txt?_rsc=j4kbAtHoDLFX2hk4
 HTTP  9/21/2026 5:09:43 PM ::1 Returned 200 in 487 ms
 HTTP  9/21/2026 5:09:43 PM ::1 Returned 200 in 197 ms
 HTTP  9/21/2026 5:09:43 PM ::1 Returned 404 in 113 ms
 HTTP  9/21/2026 5:09:43 PM ::1 Returned 404 in 171 ms
 HTTP  9/21/2026 5:09:43 PM ::1 GET /speakers/__next.speakers.__PAGE__.txt?_rsc=22PMAocxR9F6V8R5
 HTTP  9/21/2026 5:09:43 PM ::1 GET /posters/__next.posters.__PAGE__.txt?_rsc=44zf1ldL-cmIdsFY
 HTTP  9/21/2026 5:09:43 PM ::1 Returned 404 in 302 ms
 HTTP  9/21/2026 5:09:43 PM ::1 Returned 404 in 324 ms
 HTTP  9/21/2026 5:09:44 PM ::1 GET /sponsors/__next.sponsors.__PAGE__.txt?_rsc=HgMpmY5Ko1RgowCN
 HTTP  9/21/2026 5:09:44 PM ::1 GET /registration/__next.registration.__PAGE__.txt?_rsc=vL_-aE5EF4X0Mpyf
 HTTP  9/21/2026 5:09:44 PM ::1 Returned 404 in 171 ms
 HTTP  9/21/2026 5:09:44 PM ::1 Returned 404 in 150 ms
 HTTP  9/21/2026 5:11:05 PM ::1 GET /
 HTTP  9/21/2026 5:11:05 PM ::1 Returned 200 in 2 ms
 HTTP  9/21/2026 5:11:05 PM ::1 GET /compass-logo.png
 HTTP  9/21/2026 5:11:05 PM ::1 Returned 200 in 3 ms
 HTTP  9/21/2026 5:11:05 PM ::1 GET /_next/static/chunks/24v4i2qmup8bl.css
 HTTP  9/21/2026 5:11:05 PM ::1 Returned 200 in 3 ms
 HTTP  9/21/2026 5:11:05 PM ::1 GET /_next/static/chunks/3s6nzrbk-8mnv.js
 HTTP  9/21/2026 5:11:05 PM ::1 GET /_next/static/chunks/19mx3mg6lkumu.js
 HTTP  9/21/2026 5:11:05 PM ::1 GET /_next/static/chunks/3kmozkq6tgqnz.js
 HTTP  9/21/2026 5:11:05 PM ::1 GET /_next/static/chunks/2l5x-zhm7488_.js
 HTTP  9/21/2026 5:11:05 PM ::1 GET /_next/static/chunks/turbopack-23uo424_7v2rd.js
 HTTP  9/21/2026 5:11:06 PM ::1 GET /_next/static/chunks/3fntmmi971322.js
 HTTP  9/21/2026 5:11:05 PM ::1 Returned 200 in 1000 ms
 HTTP  9/21/2026 5:11:05 PM ::1 Returned 200 in 890 ms
 HTTP  9/21/2026 5:11:05 PM ::1 Returned 200 in 937 ms
 HTTP  9/21/2026 5:11:05 PM ::1 Returned 200 in 925 ms
 HTTP  9/21/2026 5:11:05 PM ::1 Returned 200 in 815 ms
 HTTP  9/21/2026 5:11:06 PM ::1 Returned 200 in 767 ms
 HTTP  9/21/2026 5:11:06 PM ::1 GET /_next/static/media/public-sans-latin-400-normal.0dfhr30pzjgke.woff2
 HTTP  9/21/2026 5:11:06 PM ::1 GET /_next/static/media/source-serif-4-latin-400-normal.2h0g4hvhigxb2.woff2
 HTTP  9/21/2026 5:11:06 PM ::1 GET /_next/static/media/public-sans-latin-600-normal.28kl08ryt2g51.woff2
 HTTP  9/21/2026 5:11:07 PM ::1 GET /_next/static/media/source-serif-4-latin-400-italic.176tdg0wh_pxv.woff2
 HTTP  9/21/2026 5:11:07 PM ::1 GET /_next/static/media/public-sans-latin-800-normal.3yqjxqcq8pbt_.woff2
 HTTP  9/21/2026 5:11:06 PM ::1 Returned 200 in 525 ms
 HTTP  9/21/2026 5:11:06 PM ::1 Returned 200 in 570 ms
 HTTP  9/21/2026 5:11:06 PM ::1 Returned 200 in 675 ms
 HTTP  9/21/2026 5:11:07 PM ::1 Returned 200 in 521 ms
 HTTP  9/21/2026 5:11:07 PM ::1 Returned 200 in 461 ms
 HTTP  9/21/2026 5:11:07 PM ::1 GET /college.jpeg
 HTTP  9/21/2026 5:11:07 PM ::1 Returned 200 in 14 ms
 HTTP  9/21/2026 5:11:07 PM ::1 GET /_next/static/chunks/08h_lnmb0vpih.js
 HTTP  9/21/2026 5:11:07 PM ::1 GET /_next/static/chunks/0goy3ssicgvu7.js
 HTTP  9/21/2026 5:11:07 PM ::1 GET /bsnu-logo.png
 HTTP  9/21/2026 5:11:07 PM ::1 Returned 200 in 138 ms
 HTTP  9/21/2026 5:11:07 PM ::1 Returned 200 in 168 ms
 HTTP  9/21/2026 5:11:08 PM ::1 GET /fms-logo.png
 HTTP  9/21/2026 5:11:07 PM ::1 Returned 200 in 298 ms
 HTTP  9/21/2026 5:11:08 PM ::1 Returned 200 in 9 ms
 HTTP  9/21/2026 5:11:08 PM ::1 GET /tab-compass.png
 HTTP  9/21/2026 5:11:08 PM ::1 Returned 200 in 17 ms
 HTTP  9/21/2026 5:11:08 PM ::1 HEAD /
 HTTP  9/21/2026 5:11:08 PM ::1 HEAD /about/
 HTTP  9/21/2026 5:11:08 PM ::1 HEAD /agenda/
 HTTP  9/21/2026 5:11:08 PM ::1 HEAD /speakers/
 HTTP  9/21/2026 5:11:08 PM ::1 Returned 304 in 11 ms
 HTTP  9/21/2026 5:11:08 PM ::1 Returned 200 in 12 ms
 HTTP  9/21/2026 5:11:08 PM ::1 Returned 200 in 11 ms
 HTTP  9/21/2026 5:11:08 PM ::1 Returned 200 in 9 ms
 HTTP  9/21/2026 5:11:08 PM ::1 GET /__next._tree.txt?_rsc=5CB68i4pnAekjehf
 HTTP  9/21/2026 5:11:08 PM ::1 GET /about/__next._tree.txt?_rsc=5CB68i4pnAekjehf
 HTTP  9/21/2026 5:11:08 PM ::1 GET /agenda/__next._tree.txt?_rsc=5CB68i4pnAekjehf
 HTTP  9/21/2026 5:11:08 PM ::1 GET /speakers/__next._tree.txt?_rsc=5CB68i4pnAekjehf
 HTTP  9/21/2026 5:11:08 PM ::1 Returned 200 in 475 ms
 HTTP  9/21/2026 5:11:08 PM ::1 Returned 200 in 308 ms
 HTTP  9/21/2026 5:11:08 PM ::1 Returned 200 in 326 ms
 HTTP  9/21/2026 5:11:08 PM ::1 Returned 200 in 248 ms
 HTTP  9/21/2026 5:11:09 PM ::1 HEAD /posters/
 HTTP  9/21/2026 5:11:09 PM ::1 HEAD /sponsors/
 HTTP  9/21/2026 5:11:09 PM ::1 HEAD /registration/
 HTTP  9/21/2026 5:11:09 PM ::1 GET /__next.__PAGE__.txt?_rsc=8nTjltbQWvg6NcbE
 HTTP  9/21/2026 5:11:09 PM ::1 Returned 200 in 203 ms
 HTTP  9/21/2026 5:11:09 PM ::1 Returned 200 in 49 ms
 HTTP  9/21/2026 5:11:09 PM ::1 Returned 200 in 7 ms
 HTTP  9/21/2026 5:11:09 PM ::1 Returned 200 in 8 ms
 HTTP  9/21/2026 5:11:09 PM ::1 GET /posters/__next._tree.txt?_rsc=5CB68i4pnAekjehf
 HTTP  9/21/2026 5:11:09 PM ::1 GET /sponsors/__next._tree.txt?_rsc=5CB68i4pnAekjehf
 HTTP  9/21/2026 5:11:09 PM ::1 Returned 200 in 52 ms
 HTTP  9/21/2026 5:11:09 PM ::1 GET /registration/__next._tree.txt?_rsc=5CB68i4pnAekjehf
 HTTP  9/21/2026 5:11:09 PM ::1 Returned 200 in 182 ms
 HTTP  9/21/2026 5:11:09 PM ::1 Returned 200 in 4 ms
 HTTP  9/21/2026 5:11:09 PM ::1 GET /about/__next.about.__PAGE__.txt?_rsc=hzcUC6YqarYE9pKE
 HTTP  9/21/2026 5:11:09 PM ::1 GET /agenda/__next.agenda.__PAGE__.txt?_rsc=j4kbAtHoDLFX2hk4
 HTTP  9/21/2026 5:11:09 PM ::1 Returned 404 in 12 ms
 HTTP  9/21/2026 5:11:09 PM ::1 GET /speakers/__next.speakers.__PAGE__.txt?_rsc=22PMAocxR9F6V8R5
 HTTP  9/21/2026 5:11:09 PM ::1 GET /posters/__next.posters.__PAGE__.txt?_rsc=44zf1ldL-cmIdsFY
 HTTP  9/21/2026 5:11:09 PM ::1 Returned 404 in 13 ms
 HTTP  9/21/2026 5:11:09 PM ::1 Returned 404 in 13 ms
 HTTP  9/21/2026 5:11:09 PM ::1 Returned 404 in 130 ms
 HTTP  9/21/2026 5:11:09 PM ::1 GET /sponsors/__next.sponsors.__PAGE__.txt?_rsc=HgMpmY5Ko1RgowCN
 HTTP  9/21/2026 5:11:09 PM ::1 Returned 404 in 228 ms
 HTTP  9/21/2026 5:11:10 PM ::1 GET /registration/__next.registration.__PAGE__.txt?_rsc=vL_-aE5EF4X0Mpyf
 HTTP  9/21/2026 5:11:10 PM ::1 Returned 404 in 124 ms
 HTTP  9/21/2026 5:11:59 PM ::1 GET /
 HTTP  9/21/2026 5:11:59 PM ::1 Returned 200 in 66 ms
 HTTP  9/21/2026 5:11:59 PM ::1 GET /compass-logo.png
 HTTP  9/21/2026 5:11:59 PM ::1 Returned 200 in 22 ms
 HTTP  9/21/2026 5:11:59 PM ::1 GET /_next/static/chunks/24v4i2qmup8bl.css
 HTTP  9/21/2026 5:11:59 PM ::1 Returned 200 in 4 ms
 HTTP  9/21/2026 5:11:59 PM ::1 GET /_next/static/chunks/3s6nzrbk-8mnv.js
 HTTP  9/21/2026 5:11:59 PM ::1 Returned 200 in 181 ms
 HTTP  9/21/2026 5:11:59 PM ::1 GET /_next/static/chunks/19mx3mg6lkumu.js
 HTTP  9/21/2026 5:11:59 PM ::1 GET /_next/static/chunks/3kmozkq6tgqnz.js
 HTTP  9/21/2026 5:12:00 PM ::1 GET /_next/static/chunks/2l5x-zhm7488_.js
 HTTP  9/21/2026 5:12:00 PM ::1 GET /_next/static/chunks/turbopack-23uo424_7v2rd.js
